FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine2,AddressLine3,PostCode,RatingValue,RatingKey,RatingDate,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,Scores,SchemeType,NewRatingPending,Longitude,Latitude,AddressLine1
1070938,18/00012/COM,14 Forty,Restaurant/Cafe/Canteen,1,8 Elliot Place,Glasgow,G3 8EP,Pass,fhis_pass_en-GB,2018-08-09,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.279434,55.860699,Ground Floor Cafe
360857,27730/0011/0/000,1478 Social Club,Restaurant/Cafe/Canteen,1,11 Dove Street,Glasgow,G53 7BS,Pass,fhis_pass_en-GB,2012-04-26,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.362002,55.812693,
984742,17/00491/COM,1A  Wok,Takeaway/sandwich shop,7844,9 Glasgow Road,Glasgow,G69 6JT,Pass,fhis_pass_en-GB,2018-12-06,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.115835,55.849962,
1060525,18/00273/COM,1A Wok,Takeaway/sandwich shop,7844,30 Gleddoch Road,Glasgow,G52 4BD,Pass,fhis_pass_en-GB,2019-06-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.373694,55.851861,
36362,10/01017/COM,2 Go,Restaurant/Cafe/Canteen,1,397 Dumbarton Road,Glasgow,G11 6BE,Pass,fhis_pass_en-GB,2019-05-08,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.308613,55.870617,
507934,13/00152/COM,200 St Vincent Street,Restaurant/Cafe/Canteen,1,200 St Vincent Street,Glasgow,G2 5SG,Pass,fhis_pass_en-GB,2019-09-10,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.260957,55.86229,Storey 6
691666,14/00548/COM,221 Transport Squadron,Other catering premises,7841,84 Clydesmill Drive,Glasgow,G32 8RG,Pass,fhis_pass_en-GB,2014-07-28,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.169326,55.825951,TA Centre
1156102,19/00565/COM,226 Gallowgate,Pub/bar/nightclub,7843,226 Gallowgate,Glasgow,G4 0TS,Pass,fhis_pass_en-GB,2019-06-24,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.236938,55.855063,
706137,14/00741/COM,24/7,Retailers - other,4613,404 Byres Road,Glasgow,G12 8AS,Improvement Required,fhis_improvement_required_en-GB,2014-10-01,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.290347,55.877492,
35976,10/00437/COM,26 Hope Street,Pub/bar/nightclub,7843,26 Hope Street,Glasgow,G2 6AA,Improvement Required,fhis_improvement_required_en-GB,2019-08-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.258211,55.859302,
95689,28650/0279/0/000,279 Cafe Bistro,Restaurant/Cafe/Canteen,1,279 Dumbarton Road,Glasgow,G11 6AB,Pass,fhis_pass_en-GB,2019-01-29,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.303939,55.870516,
433023,12/00656/COM,3 Bridges Care Home,Hospitals/Childcare/Caring Premises,5,108 Carmunnock Road,Glasgow,G44 4UN,Pass,fhis_pass_en-GB,2019-07-19,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.256196,55.820136,
1174290,19/00677/COM,3 In 1 Extra,Takeaway/sandwich shop,7844,67 Elmbank Street,Glasgow,G2 4PQ,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2019-05-14,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.268436,55.865576,
110587,40210/0021/0/000,32nd  ( Scottish )Signal Regiment,Other catering premises,7841,21 Jardine Street,Glasgow,G20 6JU,Pass,fhis_pass_en-GB,2019-04-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.277246,55.877088,
951350,17/00184/COM,333 Chinese Takeaway,Takeaway/sandwich shop,7844,1550 Great Western Road,Glasgow,G13 1HJ,Pass,fhis_pass_en-GB,2019-09-24,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.322328,55.889358,
666016,14/00378/COM,5 Star Bakery,Takeaway/sandwich shop,7844,632 Cathcart Road,Glasgow,G42 8AA,Improvement Required,fhis_improvement_required_en-GB,2019-09-20,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.256667,55.834615,
581093,13/00644/COM,7 Days News,Retailers - other,4613,383 Sauchiehall Street,Glasgow,G2 3HU,Pass,fhis_pass_en-GB,2013-08-06,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.267293,55.865696,
126175,55050/0018/0/000,7 Spices,Takeaway/sandwich shop,7844,18 Quarrywood Avenue,Glasgow,G21 3ES,Pass,fhis_pass_en-GB,2019-05-28,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.200267,55.884168,
121586,50260/0828/0/000,7 Star Spices,Takeaway/sandwich shop,7844,828 Mosspark Drive,Glasgow,G52 3DA,Improvement Required,fhis_improvement_required_en-GB,2019-09-18,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.344164,55.841723,
104709,35770/0727/0/000,727 Fast Foods,Takeaway/sandwich shop,7844,727 Great Western Road,Glasgow,G12 8QX,Pass,fhis_pass_en-GB,2019-05-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.289157,55.87738,
406755,04/00039/COM,7th Heaven,Restaurant/Cafe/Canteen,1,15 Elmbank Gardens,Glasgow,G2 4NQ,Pass,fhis_pass_en-GB,2012-06-06,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.270439,55.865108,
1193145,19/00797/COM,888 Express,Takeaway/sandwich shop,7844,126 Byres Road,Glasgow,G12 8TD,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2019-04-05,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.295156,55.873646,
84960,21160/1249/0/000,A A Foodstores,Retailers - other,4613,1249 Cathcart Road,Glasgow,G42 9HA,Pass,fhis_pass_en-GB,2012-08-03,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.260742,55.822542,
315891,08/00881/COM,A and M Catering,Mobile caterer,7846,1 Glasgow Green,Glasgow,G40 1BA,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-03-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.237528,55.849506,
315900,11/00683/COM,A and M Catering - Street Trader,Mobile caterer,7846,1134 South Street,Glasgow,,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-03-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.3523091,55.8774062,
31008,09/00379/COM,A and M Convenience Store/ Day-Today,Retailers - other,4613,2162 Dumbarton Road,Glasgow,G14 0JJ,Improvement Required,fhis_improvement_required_en-GB,2017-07-25,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.372456,55.885796,
962147,17/00230/COM,A and M Event Catering,Mobile caterer,7846,1134 South Street,Glasgow,,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-03-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,,,Snack Bar
905237,16/00149/COM,A and M Event Catering,Mobile caterer,7846,1134 South Street,Glasgow,,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2016-03-08,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,,,Snack Bar
905238,16/00150/COM,A and M Event Catering,Mobile caterer,7846,1134 South Street,Glasgow,,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-03-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,,,Snack Bar
905239,16/00151/COM,A and M Event Catering Cream Coffee,Mobile caterer,7846,1134 South Street,Glasgow,,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-03-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,,,Snack Bar
1132769,19/00067/COM,A Bit Of A Do Catering,Restaurant/Cafe/Canteen,1,25 Broomhill Avenue,Glasgow,G11 7BF,Pass,fhis_pass_en-GB,2019-04-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,,,Flat 4/2
128878,59170/1013/0/000,A Lennon Family Butchers,Manufacturers/packers,7839,1013 Shettleston Road,Glasgow,G32 7PB,Pass,fhis_pass_en-GB,2019-03-05,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.169989,55.851912,
64469,14330/0012/0/000,A Morrow (butcher),Retailers - other,4613,12 Barholm Square,Glasgow,G33 5EE,Pass,fhis_pass_en-GB,2015-12-11,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.145908,55.872969,
83823,20640/0428/0/000,A Muir Quality Butchers,Manufacturers/packers,7839,428 Carntynehall Road,Glasgow,G32 6LH,Pass,fhis_pass_en-GB,2019-10-02,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.181603,55.862428,
129547,60390/0257/0/000,A Weir - Butcher,Retailers - other,4613,257 Springburn Way,Glasgow,G21 1DX,Pass,fhis_pass_en-GB,2013-02-27,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.229533,55.883391,
95673,28650/0094/0/000,A. M. Javed Newsagents,Retailers - other,4613,94 Dumbarton Road,Glasgow,G11 6NX,Pass,fhis_pass_en-GB,2014-05-21,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.297868,55.870297,
124656,53150/0380/0/000,A1 Off Sales,Retailers - other,4613,380 Paisley Road West,Glasgow,G51 1BG,Pass,fhis_pass_en-GB,2010-12-16,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.295491,55.851971,
1108362,19/00120/COM,AA Continental Foods,Retailers - other,4613,207 Allison Street,Glasgow,G42 8RU,Pass,fhis_pass_en-GB,2019-03-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.261455,55.836199,
507911,13/00017/COM,AA Star News,Retailers - other,4613,18 Grantlea Terrace,Glasgow,G32 9JN,Improvement Required,fhis_improvement_required_en-GB,2019-09-10,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.144555,55.846696,
946072,13/00570/COM,AB1 - Angus BBQ (Supreme Group),Mobile caterer,7846,105 Clydeholm Road,Glasgow,G14 0QQ,Pass,fhis_pass_en-GB,2018-08-17,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.337705,55.870607,
1009589,17/00677/COM,Abbey Court Care Home,Hospitals/Childcare/Caring Premises,5,34 Abbeygreen Street,Glasgow,G34 0JH,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-09-27,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.093184,55.870498,
460449,9666,Abbeyfield House,Hospitals/Childcare/Caring Premises,5,51 Reidhouse Street,Glasgow,G21 4LS,Pass,fhis_pass_en-GB,2014-08-11,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.226181,55.883775,
101964,33580/0075/0/000,Abbey's Fish Bar,Takeaway/sandwich shop,7844,75 Gartcraig Road,Glasgow,G33 2NW,Pass,fhis_pass_en-GB,2016-07-20,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.1836,55.86526,
118310,47630/0253/0/000,Abdul Rahman Super Store,Retailers - other,4613,253 Maxwell Road,Glasgow,G41 1TE,Pass,fhis_pass_en-GB,2014-10-28,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.272655,55.843955,
101924,33550/0195/0/000,Abercorn School,School/college/university,7845,195 Garscube Road,Glasgow,G4 9QH,Pass,fhis_pass_en-GB,2015-10-26,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.261536,55.871419,
31114,09/00467/COM,Abercromby Cafe,Restaurant/Cafe/Canteen,1,168 Abercromby Street,Glasgow,G40 2RZ,Pass,fhis_pass_en-GB,2019-02-04,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.229148,55.852688,
1193116,19/00448/COM,Aberdeen Angus Steak Bar And Deli,Restaurant/Cafe/Canteen,1,71 Braidfauld Gardens,Glasgow,G32 8PX,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2019-07-07,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.1751769,55.8403854,
988099,17/00486/COM,Absolute Catering,Mobile caterer,7846,25 Rigby Street,Glasgow,G32 6DS,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-07-18,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.19045877456665,55.8545341491699,
1108376,19/00158/COM,Absolute Catering - Fajitas,Mobile caterer,7846,35 Rigby Street,Glasgow,G32 6DS,Pass,fhis_pass_en-GB,2019-08-18,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.190459,55.854533,
864257,15/00153/COM,Absolute Mobile Catering - Donut,Mobile caterer,7846,35 Rigby Street,Glasgow,G32 6DS,Pass,fhis_pass_en-GB,2019-07-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.190459,55.854533,
432987,11/00645/COM,Absolute Mobile Catering - Philly Cheesesteak,Mobile caterer,7846,25 Rigby Street,Glasgow,G32 6DS,Pass,fhis_pass_en-GB,2019-07-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.19045877456665,55.8545341491699,
895354,16/00425/COM,Absolute Mobile Catering - Urban Burger Bar,Mobile caterer,7846,25 Rigby Street,Glasgow,G32 6DS,Pass,fhis_pass_en-GB,2018-06-30,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.19045877456665,55.8545341491699,
1159033,18/00296/COM,Absolute Mobile Catering (Burger Project Build-up Unit),Mobile caterer,7846,35 Rigby Street,Glasgow,G32 6DS,Pass,fhis_pass_en-GB,2019-07-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.190459,55.854533,
1057129,18/00368/COM,Absurd Bird,Restaurant/Cafe/Canteen,1,73 Nelson Mandela Place,Glasgow,G2 1QY,Pass,fhis_pass_en-GB,2019-07-03,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.2542896,55.8616893,
769560,15/00340/COM,Accento Cafe,Restaurant/Cafe/Canteen,1,6 Claremont Street,Glasgow,G3 7HA,Pass,fhis_pass_en-GB,2019-10-15,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.279325,55.863461,
925852,16/00761/COM,A'Challtain Bar And Kitchen,Restaurant/Cafe/Canteen,1,54 Calton Entry,Glasgow,G40 2SB,Improvement Required,fhis_improvement_required_en-GB,2019-07-30,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.236991,55.854603,Unit 15
30031,09/00138/COM,Acorn Hotels,Hotel/bed & breakfast/guest house,7842,140 Elderslie Street,Glasgow,G3 7AW,Pass,fhis_pass_en-GB,2019-01-17,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.276005,55.865724,
86545,22040/0006/0/000,Acorn Nursery,Hospitals/Childcare/Caring Premises,5,6 Claremont Terrace,Glasgow,G3 7XR,Pass,fhis_pass_en-GB,2018-08-09,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.27787590026855,55.8676719665527,Storey Ground
942770,13/01034/COM,Acre Stores,Retailers - other,4613,120 Acre Road,Glasgow,G20 0TN,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2017-01-23,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.307916,55.904396,
31041,09/00403/COM,Acre Tennants And Residents Association,Other catering premises,7841,3 Acre Drive,Glasgow,G20 0TW,Pass,fhis_pass_en-GB,2015-03-11,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.30582,55.903582,
25675,08/00117/COM,Action For Children,Hospitals/Childcare/Caring Premises,5,18 Stoneside Drive,Glasgow,G43 1JF,Pass,fhis_pass_en-GB,2010-08-09,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.304857,55.817481,
108515,38760/0111/0/000,Ad Lib,Pub/bar/nightclub,7843,111 Hope Street,Glasgow,G2 6LL,Pass,fhis_pass_en-GB,2019-08-29,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.259448,55.86079,
118059,47390/0249/0/000,Adeel Tandoori,Takeaway/sandwich shop,7844,249 Maryhill Road,Glasgow,G20 7YB,Pass,fhis_pass_en-GB,2017-07-04,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.271236,55.875474,
65861,14830/0209/3/002,Adelaides Nursery,Hospitals/Childcare/Caring Premises,5,209 Bath Street,Glasgow,G2 4HZ,Pass,fhis_pass_en-GB,2019-10-08,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.263948,55.864518,
132795,64990/0015/0/000,Adelphi Nursery School,Hospitals/Childcare/Caring Premises,5,40 Waddell Court,Glasgow,G5 0QA,Pass,fhis_pass_en-GB,2011-10-28,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.241955,55.849516,
1079094,18/00692/COM,Adelphi Tria Cafe,Restaurant/Cafe/Canteen,1,12 Commercial Road,Glasgow,G5 0PQ,Pass,fhis_pass_en-GB,2018-06-18,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.2458237,55.8509605,Building 1 - Unit 1
29944,09/00128/COM,African Embassy,Retailers - other,4613,293 Duke Street,Glasgow,G31 1HX,Improvement Required,fhis_improvement_required_en-GB,2019-03-18,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.224557,55.85846,
1132770,19/00227/COM,Afro Bite On Demand,Restaurant/Cafe/Canteen,1,53 Mansel Street,Glasgow,G21 4JH,Pass,fhis_pass_en-GB,2019-06-25,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.2253255,55.8867072,Flat 0/2
905255,16/00524/COM,Aga Mezze Palace,Restaurant/Cafe/Canteen,1,56 Dundas Street,Glasgow,G1 2AQ,Pass,fhis_pass_en-GB,2019-04-03,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.251713,55.862998,
548296,13/00351/COM,Agora Greek Delicacies,Importers/Exporters,14,9 Foundry Street,Glasgow,G21 4PR,Pass,fhis_pass_en-GB,2013-11-11,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.223761,55.880601,
18360,06/00113/COM,Ahi Al Bait Society,Other catering premises,7841,25 Woodside Place,Glasgow,G3 7QL,Pass,fhis_pass_en-GB,2006-03-24,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.275036,55.866928,
70204,15900/0267/0/000,Ahmed Bros,Retailers - other,4613,267 Bilsland Drive,Glasgow,G20 9RE,Pass,fhis_pass_en-GB,2010-06-04,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.274939,55.887404,
18903,06/00270/COM,Ahmed Newsagent,Retailers - other,4613,130 Main Street,Glasgow,G69 6AE,Pass,fhis_pass_en-GB,2011-10-10,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.109489,55.850484,
1098816,18/00033/COM,Ailsa Craig HC-One,Hospitals/Childcare/Caring Premises,5,101 Brand Street,Glasgow,G51 1DJ,Pass,fhis_pass_en-GB,2019-01-10,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.295313,55.853286,
315982,12/00345/COM,AJ's Sandwich Shop,Restaurant/Cafe/Canteen,1,14 Tollcross Road,Glasgow,G31 4XD,Improvement Required,fhis_improvement_required_en-GB,2019-05-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.19669,55.850836,
1180750,19/00767/COM,Akara Bakery,Restaurant/Cafe/Canteen,1,537 Duke Street,Glasgow,G31 1DL,Awaiting Inspection,fhis_awaiting_inspection_en-GB,2019-09-12,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.2173415,55.8585953,
360826,12/00388/COM,Akbars Balti Restaurant,Restaurant/Cafe/Canteen,1,573 Sauchiehall Street,Glasgow,G3 7PQ,Pass,fhis_pass_en-GB,2019-04-20,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.273083,55.866048,
988104,17/00511/COM,Al Rehman Butchers Ltd.,Retailers - other,4613,261 Allison Street,Glasgow,G42 8HA,Pass,fhis_pass_en-GB,2018-11-15,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.260227,55.835961,
942792,16/00910/COM,Al Sham Nights Cafe,Restaurant/Cafe/Canteen,1,213 Gallowgate,Glasgow,G1 5DX,Pass,fhis_pass_en-GB,2017-12-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.237693,55.855705,
905249,16/00516/COM,Al Sultan,Restaurant/Cafe/Canteen,1,61 Bridge Street,Glasgow,,Pass,fhis_pass_en-GB,2018-08-13,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,0.11797000011704,52.208875000027,Storey 1 - 3
104635,35740/0046/0/000,Alamo Guest House,Hotel/bed & breakfast/guest house,7842,46 Gray Street,Glasgow,G3 7SE,Pass,fhis_pass_en-GB,2014-02-12,776,Glasgow City,http://www.glasgow.gov.uk,food.safety@glasgow.gov.uk,,FHIS,False,-4.28597,55.866941,
