FeatureCode,DateCode,Measurement,Units,Value,Sex,Age,SIMD quintiles,Urban Rural Classification,place_name
S12000026,2015-2017,95% Lower Confidence Limit,Years,43.48,Male,20-24,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,38.92,Male,25-29,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,48.14,Male,15-19,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,53.03,Male,10-14,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,57.89,Male,5-9,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,18.91,Male,50-54,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,11.91,Male,60-64,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,6.05,Male,70-74,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,62.7,Male,0,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,61.82,Male,1-4,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,15.26,Male,55-59,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,0.91,Female,90+,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,1.76,Female,85-89,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,26.67,Male,40-44,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,22.73,Male,45-49,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,30.67,Male,35-39,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,9.03,Male,65-69,All,All,Scottish Borders
S12000026,2015-2017,95% Lower Confidence Limit,Years,34.58,Male,30-34,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,27.62,Female,45-49,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,2.71,Male,85-89,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,31.74,Female,40-44,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,23.84,Female,50-54,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,6.33,Male,75-79,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,4.41,Male,80-84,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,1.85,Male,90+,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,35.9,Female,35-39,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,48.75,Female,20-24,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,40.11,Female,30-34,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,20.22,Female,55-59,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,16.73,Female,60-64,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,44.42,Female,25-29,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,21.69,Male,50-54,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,14.54,Male,60-64,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,11.6,Male,65-69,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,8.61,Male,70-74,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,66.26,Male,0,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,65.39,Male,1-4,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,17.98,Male,55-59,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,29.67,Male,40-44,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,37.88,Male,30-34,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,33.83,Male,35-39,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,25.6,Male,45-49,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,53.26,Female,15-19,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,67.26,Female,0,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,57.96,Female,10-14,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,66.52,Female,1-4,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,62.68,Female,5-9,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,2.7,Female,90+,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,3.66,Female,85-89,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,7.7,Female,75-79,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,5.37,Female,80-84,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,10.41,Female,70-74,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,13.39,Female,65-69,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,56.57,Male,10-14,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,46.96,Male,20-24,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,61.45,Male,5-9,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,51.67,Male,15-19,All,All,Scottish Borders
S12000026,2015-2017,95% Upper Confidence Limit,Years,42.32,Male,25-29,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,32.25,Male,35-39,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,28.17,Male,40-44,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,36.23,Male,30-34,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,24.17,Male,45-49,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,2.71,Female,85-89,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,1.8,Female,90+,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,4.23,Female,80-84,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,6.44,Female,75-79,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,9.15,Female,70-74,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,12.12,Female,65-69,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,54.8,Male,10-14,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,49.9,Male,15-19,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,7.33,Male,70-74,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,10.32,Male,65-69,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,13.22,Male,60-64,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,20.3,Male,50-54,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,45.22,Male,20-24,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,59.67,Male,5-9,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,40.62,Male,25-29,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,64.48,Male,0,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,16.62,Male,55-59,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,63.6,Male,1-4,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,64.61,Female,1-4,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,38.43,Female,30-34,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,1.05,Male,90+,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,1.74,Male,85-89,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,5.0,Male,75-79,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,65.35,Female,0,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,51.42,Female,15-19,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,60.78,Female,5-9,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,3.14,Male,80-84,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,56.08,Female,10-14,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,18.85,Female,55-59,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,22.43,Female,50-54,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,42.67,Female,25-29,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,15.42,Female,60-64,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,30.23,Female,40-44,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,34.3,Female,35-39,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,26.18,Female,45-49,All,All,Scottish Borders
S12000026,2015-2017,Count,Years,46.95,Female,20-24,All,All,Scottish Borders
S12000027,2015-2017,95% Lower Confidence Limit,Years,44.72,Male,20-24,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,40.11,Male,25-29,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,31.23,Male,35-39,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,63.4,Male,1-4,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,59.4,Male,5-9,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,49.53,Male,15-19,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,23.1,Male,45-49,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,54.53,Male,10-14,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,35.52,Male,30-34,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,27.2,Male,40-44,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,19.11,Male,50-54,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,64.23,Male,0,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,12.24,Male,60-64,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,-0.43,Male,90+,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,6.19,Male,70-74,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,15.59,Male,55-59,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,3.45,Male,75-79,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,0.31,Male,85-89,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,62.43,Female,0,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,26.04,Female,40-44,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,43.02,Female,20-24,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,57.43,Female,5-9,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,30.02,Female,35-39,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,38.46,Female,25-29,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,9.05,Male,65-69,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,34.22,Female,30-34,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,8.55,Female,65-69,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,22.12,Female,45-49,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,11.67,Female,60-64,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,1.33,Male,80-84,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,47.67,Female,15-19,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,61.43,Female,1-4,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,52.49,Female,10-14,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,2.88,Female,75-79,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,18.39,Female,50-54,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,0.18,Female,85-89,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,14.84,Female,55-59,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,5.59,Female,70-74,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,1.14,Female,80-84,All,All,Shetland Islands
S12000027,2015-2017,95% Lower Confidence Limit,Years,-0.66,Female,90+,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,57.34,Male,15-19,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,29.6,Male,45-49,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,47.86,Male,25-29,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,62.34,Male,10-14,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,43.12,Male,30-34,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,33.86,Male,40-44,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,25.21,Male,50-54,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,52.52,Male,20-24,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,72.0,Male,0,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,67.19,Male,5-9,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,38.29,Male,35-39,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,71.19,Male,1-4,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,33.8,Female,40-44,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,52.09,Female,20-24,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,66.79,Female,5-9,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,38.05,Female,35-39,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,47.38,Female,25-29,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,14.49,Male,65-69,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,42.64,Female,30-34,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,56.91,Female,15-19,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,70.79,Female,1-4,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,61.82,Female,10-14,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,9.67,Female,75-79,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,5.21,Male,85-89,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,7.59,Male,80-84,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,21.54,Male,55-59,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,17.99,Male,60-64,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,11.82,Male,70-74,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,71.79,Female,0,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,9.52,Male,75-79,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,3.85,Male,90+,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,25.58,Female,50-54,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,5.58,Female,85-89,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,29.63,Female,45-49,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,21.79,Female,55-59,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,12.15,Female,70-74,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,7.5,Female,80-84,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,4.22,Female,90+,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,18.65,Female,60-64,All,All,Shetland Islands
S12000027,2015-2017,95% Upper Confidence Limit,Years,15.25,Female,65-69,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,63.3,Male,5-9,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,67.3,Male,1-4,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,68.12,Male,0,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,34.76,Male,35-39,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,30.53,Male,40-44,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,52.29,Female,15-19,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,66.11,Female,1-4,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,57.16,Female,10-14,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,34.04,Female,35-39,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,62.11,Female,5-9,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,9.01,Male,70-74,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,11.77,Male,65-69,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,15.11,Male,60-64,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,18.56,Male,55-59,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,47.56,Female,20-24,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,29.92,Female,40-44,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,42.92,Female,25-29,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,38.43,Female,30-34,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,4.32,Female,80-84,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,6.28,Female,75-79,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,8.87,Female,70-74,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,21.99,Female,50-54,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,18.32,Female,55-59,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,1.78,Female,90+,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,2.88,Female,85-89,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,4.46,Male,80-84,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,67.11,Female,0,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,1.71,Male,90+,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,2.76,Male,85-89,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,6.49,Male,75-79,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,15.16,Female,60-64,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,25.87,Female,45-49,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,11.9,Female,65-69,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,22.16,Male,50-54,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,39.32,Male,30-34,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,26.35,Male,45-49,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,48.62,Male,20-24,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,43.98,Male,25-29,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,53.44,Male,15-19,All,All,Shetland Islands
S12000027,2015-2017,Count,Years,58.44,Male,10-14,All,All,Shetland Islands
S12000033,2015-2017,95% Lower Confidence Limit,Years,19.4,Female,50-54,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,22.88,Female,45-49,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,13.04,Female,60-64,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,26.51,Female,40-44,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,0.26,Male,90+,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,5.24,Male,70-74,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,0.83,Male,85-89,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,34.5,Female,30-34,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,30.37,Female,35-39,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,54.6,Male,5-9,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,38.85,Female,25-29,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,16.07,Female,55-59,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,43.37,Female,20-24,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,61.62,Female,1-4,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,3.08,Male,75-79,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,52.77,Female,10-14,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,1.76,Male,80-84,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,62.45,Female,0,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,57.69,Female,5-9,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,47.99,Female,15-19,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,27.43,Male,35-39,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,35.98,Male,25-29,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,31.61,Male,30-34,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,23.52,Male,40-44,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,45.07,Male,15-19,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,59.37,Male,0,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,58.5,Male,1-4,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,49.81,Male,10-14,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,40.48,Male,20-24,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,7.57,Male,65-69,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,19.96,Male,45-49,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,10.25,Male,60-64,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,16.48,Male,50-54,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,13.25,Male,55-59,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,5.39,Female,75-79,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,3.56,Female,80-84,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,7.66,Female,70-74,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,10.19,Female,65-69,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,2.16,Female,85-89,All,All,Aberdeen City
S12000033,2015-2017,95% Lower Confidence Limit,Years,1.07,Female,90+,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,57.17,Female,10-14,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,52.35,Female,15-19,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,4.61,Male,80-84,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,6.49,Male,75-79,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,62.1,Female,5-9,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,66.03,Female,1-4,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,66.85,Female,0,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,22.83,Female,50-54,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,26.55,Female,45-49,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,16.11,Female,60-64,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,30.41,Female,40-44,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,2.44,Male,90+,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,8.46,Male,70-74,All,All,Aberdeen City
S12000033,2015-2017,95% Upper Confidence Limit,Years,3.11,Male,85-89,All,All,Aberdeen City
