category,quality,item_id,color,size,color_long,price,stock_quantity,image
JK,DLX,6281272229728998706,KHA,XL,KHAKI,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,KHA,XS,KHAKI,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,BLK,XL,BLACK,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,BLK,XXL,BLACK,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,BLK,XXS,BLACK,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,-4191911794694246473,BBL,L,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BBL,XS,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,M,BLACK,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,RED,S,RED,124.99,4,https://picsum.photos/seed/-4191911794694246473/200/300
JK,TP100,-379357246753872820,RED,S,RED,79.99,0,https://picsum.photos/seed/-379357246753872820/200/300
JK,TP100,-379357246753872820,RED,XXL,RED,79.99,0,https://picsum.photos/seed/-379357246753872820/200/300
JK,DLX,-4197701046468681585,RED,L,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,RED,M,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,RED,XS,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,RED,XXL,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,WHT,XL,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,460497127709884159,BLK,XS,BLACK,114.99,4,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,BLK,XXL,BLACK,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,BLK,XXS,BLACK,114.99,9,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,M,BRIGHT CITRON,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,XL,BRIGHT CITRON,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,TP100,-379357246753872820,RED,XL,RED,79.99,0,https://picsum.photos/seed/-379357246753872820/200/300
JK,TP100,-379357246753872820,RED,L,RED,79.99,0,https://picsum.photos/seed/-379357246753872820/200/300
JK,TP100,-379357246753872820,RED,M,RED,79.99,0,https://picsum.photos/seed/-379357246753872820/200/300
JK,TP100,-379357246753872820,RED,XS,RED,79.99,0,https://picsum.photos/seed/-379357246753872820/200/300
JK,DLX,-4197701046468681585,RED,S,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,RED,XL,RED,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,WHT,S,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,-4197701046468681585,WHT,XXS,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,460497127709884159,BLK,S,BLACK,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,L,BRIGHT CITRON,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,XXL,BRIGHT CITRON,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,460497127709884159,RCN,XXS,BRIGHT CITRON,114.99,8,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,-4191911794694246473,BBL,M,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BBL,XL,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BBL,XXL,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,XL,BLACK,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,XS,BLACK,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,XXL,BLACK,124.99,1,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,M,WHITE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,XL,WHITE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4197701046468681585,WHT,M,WHITE,114.99,0,https://picsum.photos/seed/-4197701046468681585/200/300
JK,DLX,460497127709884159,BLK,L,BLACK,114.99,0,https://picsum.photos/seed/460497127709884159/200/300
JK,DLX,-4191911794694246473,BBL,XXS,BRIGHT BLUE,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,BLK,L,BLACK,124.99,0,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,RED,L,RED,124.99,31,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,RED,M,RED,124.99,27,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,-4191911794694246473,WHT,XXL,WHITE,124.99,1,https://picsum.photos/seed/-4191911794694246473/200/300
JK,DLX,6281272229728998706,BLK,S,BLACK,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,KHA,M,KHAKI,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,KHA,XXL,KHAKI,124.99,39,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,KHA,L,KHAKI,124.99,42,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,BLK,L,BLACK,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,BLK,M,BLACK,124.99,0,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,6281272229728998706,BLK,XS,BLACK,124.99,3,https://picsum.photos/seed/6281272229728998706/200/300
JK,DLX,-4021804477537425326,BLK,XL,BLACK,99.99,28,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,ELB,L,ELECTRIC BLUE,89.99,74,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,ELB,M,ELECTRIC BLUE,89.99,81,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,ELB,XL,ELECTRIC BLUE,89.99,63,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,7955236346536520107,RED,XXS,RED,229.99,0,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,BLK,XXL,BLACK,229.99,8,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,BLK,XL,BLACK,229.99,0,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,-4021804477537425326,BLK,S,BLACK,99.99,29,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,BLK,XXS,BLACK,99.99,0,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,ELB,XXS,ELECTRIC BLUE,89.99,13,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,BLK,L,BLACK,99.99,12,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,BLK,M,BLACK,99.99,14,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,BLK,XS,BLACK,99.99,11,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,BLK,XXL,BLACK,99.99,66,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,ELB,S,ELECTRIC BLUE,89.99,59,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,-4021804477537425326,ELB,XXL,ELECTRIC BLUE,89.99,4,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,7955236346536520107,BLK,L,BLACK,229.99,0,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,BLK,S,BLACK,229.99,3,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,BLK,XXS,BLACK,229.99,0,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,RED,L,RED,229.99,52,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,RED,M,RED,229.99,6,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,RED,XS,RED,229.99,6,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,RED,XXL,RED,229.99,9,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,BLK,M,BLACK,229.99,0,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,BLK,XS,BLACK,229.99,0,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,RED,S,RED,229.99,4,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,7955236346536520107,RED,XL,RED,229.99,25,https://picsum.photos/seed/7955236346536520107/200/300
JK,DLX,-4021804477537425326,ELB,XS,ELECTRIC BLUE,89.99,20,https://picsum.photos/seed/-4021804477537425326/200/300
JK,DLX,5643728778443055742,AZA,L,AZALEA,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,AZA,M,AZALEA,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,AZA,S,AZALEA,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,AZA,XL,AZALEA,114.99,1,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,AZA,XXL,AZALEA,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,BLK,M,BLACK,114.99,1,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,7735504564546423607,BLK,L,BLACK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,BLK,XXL,BLACK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,S,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,L,WHITE,114.99,16,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,XS,WHITE,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,XXS,WHITE,114.99,6,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,BLK,XXS,BLACK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,XL,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,XL,WHITE,114.99,12,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,5643728778443055742,AZA,XXS,AZALEA,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,BLK,XL,BLACK,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,BLK,XXL,BLACK,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,7735504564546423607,BLK,XS,BLACK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,M,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,XXL,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,XXS,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,5643728778443055742,BLK,L,BLACK,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,BLK,S,BLACK,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,BLK,XXS,BLACK,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,7735504564546423607,BLK,M,BLACK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,BLK,S,BLACK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,BLK,XL,BLACK,114.99,1,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,L,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,DVP,XS,DIVA PINK,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,M,WHITE,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,S,WHITE,114.99,0,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,7735504564546423607,WHT,XXL,WHITE,114.99,4,https://picsum.photos/seed/7735504564546423607/200/300
JK,DLX,5643728778443055742,AZA,XS,AZALEA,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,DLX,5643728778443055742,BLK,XS,BLACK,114.99,0,https://picsum.photos/seed/5643728778443055742/200/300
JK,TP100,7391326917820673699,BLK,M,BLACK,58.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,BLK,S,BLACK,58.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,BLK,XL,BLACK,58.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,BLK,XS,BLACK,58.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,BLK,XXL,BLACK,58.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,BLK,XXS,BLACK,58.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,DLX,7892514548594908950,AZA,L,AZALEA,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,AZA,XS,AZALEA,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,AZA,XXL,AZALEA,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,M,BLACK,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,XXL,BLACK,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,XXS,BLACK,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,AZA,M,AZALEA,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,L,BLACK,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,AZA,XL,AZALEA,81.99,12,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,AZA,XXS,AZALEA,81.99,5,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,S,BLACK,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,XS,BLACK,81.99,3,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,AZA,S,AZALEA,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,DLX,7892514548594908950,BLK,XL,BLACK,81.99,0,https://picsum.photos/seed/7892514548594908950/200/300
JK,TP75,-8707071016593389782,BLK,L,BLACK,79.99,7,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP75,-8707071016593389782,BLK,XL,BLACK,79.99,19,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP75,-8707071016593389782,BLK,XXS,BLACK,79.99,0,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP75,-8707071016593389782,BLK,M,BLACK,79.99,16,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP75,-8707071016593389782,BLK,S,BLACK,79.99,68,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP75,-8707071016593389782,BLK,XS,BLACK,79.99,68,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP75,-8707071016593389782,BLK,XXL,BLACK,79.99,0,https://picsum.photos/seed/-8707071016593389782/200/300
JK,TP100,-6599701950362272341,STR,XL,STAR PRINT,39.99,0,https://picsum.photos/seed/-6599701950362272341/200/300
JK,TP100,-6599701950362272341,STR,XS,STAR PRINT,39.99,0,https://picsum.photos/seed/-6599701950362272341/200/300
JK,TP100,-5649060693703848998,AZA,L,AZALEA,79.99,9,https://picsum.photos/seed/-5649060693703848998/200/300
JK,TP100,-5649060693703848998,AZA,XS,AZALEA,79.99,0,https://picsum.photos/seed/-5649060693703848998/200/300
JK,TP100,-5649060693703848998,AZA,XXL,AZALEA,79.99,0,https://picsum.photos/seed/-5649060693703848998/200/300
JK,TP100,7484882621482104832,TWI,L,TWILIGHT,39.99,0,https://picsum.photos/seed/7484882621482104832/200/300
JK,TP100,7484882621482104832,TWI,XL,TWILIGHT,39.99,0,https://picsum.photos/seed/7484882621482104832/200/300
JK,TP100,-6599701950362272341,STR,M,STAR PRINT,39.99,0,https://picsum.photos/seed/-6599701950362272341/200/300
JK,TP100,-6599701950362272341,STR,S,STAR PRINT,39.99,0,https://picsum.photos/seed/-6599701950362272341/200/300
JK,TP100,7391326917820673699,PAN,M,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,PAN,XXL,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,PAN,XXS,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,-3608374008401020967,BLK,XL,BLACK,99.99,0,https://picsum.photos/seed/-3608374008401020967/200/300
JK,TP100,1597728015346714188,PAN,XXL,PANSY,99.99,0,https://picsum.photos/seed/1597728015346714188/200/300
JK,TP100,2773462160885429236,AEG,XL,AEGEAN BLUE,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,2773462160885429236,AEG,XS,AEGEAN BLUE,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,2773462160885429236,AEG,XXL,AEGEAN BLUE,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,2773462160885429236,PR1,M,PEAR,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,2773462160885429236,PR1,XL,PEAR,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,7484882621482104832,TWI,XXS,TWILIGHT,39.99,0,https://picsum.photos/seed/7484882621482104832/200/300
JK,TP100,-3677988535238730875,AEG,XXL,AEGEAN BLUE,99.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,5892200496721351262,AEG,S,AEGEAN BLUE,74.99,0,https://picsum.photos/seed/5892200496721351262/200/300
JK,TP100,-7021938026941776232,BLK,M,BLACK,99.99,0,https://picsum.photos/seed/-7021938026941776232/200/300
JK,TP100,7391326917820673699,PAN,S,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,PAN,XL,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,7391326917820673699,PAN,XS,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,-3608374008401020967,BLK,M,BLACK,99.99,0,https://picsum.photos/seed/-3608374008401020967/200/300
JK,TP100,1597728015346714188,PAN,S,PANSY,99.99,0,https://picsum.photos/seed/1597728015346714188/200/300
JK,TP100,1597728015346714188,PAN,XL,PANSY,99.99,0,https://picsum.photos/seed/1597728015346714188/200/300
JK,TP100,-7021938026941776232,BLK,L,BLACK,99.99,0,https://picsum.photos/seed/-7021938026941776232/200/300
JK,TP100,2773462160885429236,AEG,L,AEGEAN BLUE,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,2773462160885429236,PR1,XXL,PEAR,59.99,0,https://picsum.photos/seed/2773462160885429236/200/300
JK,TP100,-3677988535238730875,AEG,M,AEGEAN BLUE,99.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,-3677988535238730875,AEG,XL,AEGEAN BLUE,99.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,-3677988535238730875,MGT,L,MAGENTA,31.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,-3677988535238730875,MGT,XL,MAGENTA,31.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,2247031211516640234,WHT,M,WHITE,99.99,0,https://picsum.photos/seed/2247031211516640234/200/300
JK,TP100,2247031211516640234,WHT,S,WHITE,99.99,0,https://picsum.photos/seed/2247031211516640234/200/300
JK,TP100,7391326917820673699,PAN,L,PANSY,99.99,0,https://picsum.photos/seed/7391326917820673699/200/300
JK,TP100,-3608374008401020967,BLK,XS,BLACK,99.99,0,https://picsum.photos/seed/-3608374008401020967/200/300
JK,TP100,-3608374008401020967,BLK,XXL,BLACK,99.99,0,https://picsum.photos/seed/-3608374008401020967/200/300
JK,TP100,-3608374008401020967,BLK,XXS,BLACK,99.99,0,https://picsum.photos/seed/-3608374008401020967/200/300
JK,TP100,1597728015346714188,PAN,M,PANSY,99.99,0,https://picsum.photos/seed/1597728015346714188/200/300
JK,TP100,1597728015346714188,PAN,XXS,PANSY,99.99,0,https://picsum.photos/seed/1597728015346714188/200/300
JK,TP100,-2334407960945668686,CRK,XL,CRICKET,99.99,0,https://picsum.photos/seed/-2334407960945668686/200/300
JK,TP100,-2334407960945668686,CRK,XS,CRICKET,99.99,0,https://picsum.photos/seed/-2334407960945668686/200/300
JK,TP100,-6599701950362272341,STR,XXS,STAR PRINT,39.99,0,https://picsum.photos/seed/-6599701950362272341/200/300
JK,TP100,-5649060693703848998,AZA,S,AZALEA,79.99,0,https://picsum.photos/seed/-5649060693703848998/200/300
JK,TP100,7484882621482104832,TWI,M,TWILIGHT,39.99,0,https://picsum.photos/seed/7484882621482104832/200/300
JK,TP100,7484882621482104832,TWI,S,TWILIGHT,39.99,0,https://picsum.photos/seed/7484882621482104832/200/300
JK,TP100,-2334407960945668686,CRK,L,CRICKET,99.99,0,https://picsum.photos/seed/-2334407960945668686/200/300
JK,TP100,-2334407960945668686,CRK,XXL,CRICKET,99.99,0,https://picsum.photos/seed/-2334407960945668686/200/300
JK,TP100,2247031211516640234,WHT,L,WHITE,99.99,0,https://picsum.photos/seed/2247031211516640234/200/300
JK,TP100,2247031211516640234,WHT,XL,WHITE,99.99,0,https://picsum.photos/seed/2247031211516640234/200/300
JK,TP100,2247031211516640234,WHT,XS,WHITE,99.99,0,https://picsum.photos/seed/2247031211516640234/200/300
JK,TP100,-3677988535238730875,AEG,XS,AEGEAN BLUE,99.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,-3677988535238730875,MGT,M,MAGENTA,31.99,0,https://picsum.photos/seed/-3677988535238730875/200/300
JK,TP100,5892200496721351262,AEG,L,AEGEAN BLUE,74.99,0,https://picsum.photos/seed/5892200496721351262/200/300
JK,TP100,-7021938026941776232,BLK,XS,BLACK,99.99,0,https://picsum.photos/seed/-7021938026941776232/200/300
JK,TP100,-7021938026941776232,BLK,XXL,BLACK,99.99,0,https://picsum.photos/seed/-7021938026941776232/200/300
JK,TP100,2580361002693391194,BLK,M,BLACK,44.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,BLK,S,BLACK,44.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,BLK,XS,BLACK,44.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,MAL,XXL,MALLARD,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,MAL,XXS,MALLARD,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,PAN,S,PANSY,49.99,2,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,BLK,XXS,BLACK,44.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,MAL,L,MALLARD,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,MAL,XS,MALLARD,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,PAN,XXS,PANSY,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,BLK,XXL,BLACK,44.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,MAL,S,MALLARD,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
JK,TP100,2580361002693391194,MAL,XL,MALLARD,49.99,0,https://picsum.photos/seed/2580361002693391194/200/300
